Sample,Time,X.center,Y.center,,, 
2755,110.16,176.6539822,16.15855726,,,
2756,110.2,176.6491223,16.16284782,,,
2757,110.24,176.6491223,16.16284782,,,
2758,110.28,176.6442624,16.16713844,,,
2759,110.32,176.6394023,16.1714291,,,
2760,110.36,176.6394023,16.1714291,,,
2761,110.4,176.6345421,16.17571981,,,
2762,110.44,176.6345421,16.17571981,,,
2763,110.48,176.6296818,16.18001058,,,
2764,110.52,176.6248213,16.18430139,,,
2765,110.56,176.6248213,16.18430139,,,
2766,110.6,176.6199608,16.18859226,,,
2767,110.64,176.6199608,16.18859226,,,
2768,110.68,176.6151001,16.19288317,,,
2769,110.72,176.6102393,16.19717414,,,
2770,110.76,176.6102393,16.19717414,,,
2771,110.8,176.6053784,16.20146516,,,
2772,110.84,176.6053784,16.20146516,,,
2773,110.88,176.6005173,16.20575622,,,
2774,110.92,176.5956561,16.21004734,,,
2775,110.96,176.5956561,16.21004734,,,
2776,111,176.5907949,16.21433851,,,
2777,111.04,176.5907949,16.21433851,,,
2778,111.08,176.5859334,16.21862972,,,
2779,111.12,176.5810719,16.22292099,,,
2780,111.16,176.5810719,16.22292099,,,
2781,111.2,176.5762102,16.22721231,,,
2782,111.24,176.5762102,16.22721231,,,
2783,111.28,176.5713485,16.23150368,,,
2784,111.32,176.5664865,16.2357951,,,
2785,111.36,176.5664865,16.2357951,,,
2786,111.4,176.5616245,16.24008656,,,
2787,111.44,176.5616245,16.24008656,,,
2788,111.48,176.5567624,16.24437808,,,
2789,111.52,176.5519001,16.24866965,,,
2790,111.56,176.5519001,16.24866965,,,
2791,111.6,176.5470377,16.25296127,,,
2792,111.64,176.5470377,16.25296127,,,
2793,111.68,176.5421752,16.25725294,,,
2794,111.72,176.5373125,16.26154466,,,
2795,111.76,176.5373125,16.26154466,,,
2796,111.8,176.5324498,16.26583643,,,
2797,111.84,176.5324498,16.26583643,,,
2798,111.88,176.5275869,16.27012826,,,
2799,111.92,176.5227239,16.27442013,,,
2800,111.96,176.5227239,16.27442013,,,
2801,112,176.5178608,16.27871205,,,
2802,112.04,176.5178608,16.27871205,,,
2803,112.08,176.5129975,16.28300402,,,
2804,112.12,176.5081342,16.28729604,,,
2805,112.16,176.4962686,16.27801817,,,
2806,112.2,176.4795385,16.27303173,,,
2807,112.24,176.4568733,16.26340491,,,
2808,112.28,176.4401405,16.258417,,,
2809,112.32,176.4282715,16.24913628,,,
2810,112.36,176.4115367,16.24414716,,,
2811,112.4,176.3948006,16.23915746,,,
2812,112.44,176.3769937,16.22523329,,,
2813,112.48,176.3602553,16.22024205,,,
2814,112.52,176.3435156,16.21525024,,,
2815,112.56,176.3267749,16.21025785,,,
2816,112.6,176.3149004,16.20097238,,,
2817,112.64,176.2922197,16.19133548,,,
2818,112.68,176.2754754,16.18634097,,,
2819,112.72,176.2587298,16.18134588,,,
2820,112.76,176.246852,16.17205756,,,
2821,112.8,176.2301044,16.16706126,,,
2822,112.84,176.2074158,16.15741934,,,
2823,112.88,176.1906655,16.15242155,,,
2824,112.92,176.1787843,16.14313038,,,
2825,112.96,176.162032,16.13813138,,,
2826,113,176.1452786,16.13313179,,,
2827,113.04,176.1225819,16.12348485,,,
2828,113.08,176.1106973,16.11419082,,,
